Weight(kg),t1,t2,t3,t4,t5,t6,c1,c2,c3,c4,c5,c6,ht1,ht2,ht3,ht4,hs1,hs2,hs3,hs4,hi1,hi2,hi3,hi4,expected_glucose,rtg0,rtg1,rtg2,rf0,liver0,liver1,liver2,peripheral0,peripheral1,peripheral2
70,11.4329749371293,11.619183827565301,11.619183827565301,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,11.253553031715901,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,11.253553031715901,11.4329749371293,11.619183827565301,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,11.0799703751078,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,11.0799703751078,11.253553031715901,11.4329749371293,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,10.911981698508999,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,10.911981698508999,11.0799703751078,11.253553031715901,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,10.7498207632161,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,10.7498207632161,10.911981698508999,11.0799703751078,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,10.594025864242699,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,10.594025864242699,10.7498207632161,10.911981698508999,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,10.4453043392989,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,10.4453043392989,10.594025864242699,10.7498207632161,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,10.3044286976125,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,10.3044286976125,10.4453043392989,10.594025864242699,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,10.1721587313277,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,10.1721587313277,10.3044286976125,10.4453043392989,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,10.0491851436999,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,10.0491851436999,10.1721587313277,10.3044286976125,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.93609100789846,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.93609100789846,10.0491851436999,10.1721587313277,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.833327898903038,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.833327898903038,9.93609100789846,10.0491851436999,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.74120392125816,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.74120392125816,9.833327898903038,9.93609100789846,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.659881157798539,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.659881157798539,9.74120392125816,9.833327898903038,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.58938033350196,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.58938033350196,9.659881157798539,9.74120392125816,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.52959074888543,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.52959074888543,9.58938033350196,9.659881157798539,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.48028379870499,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.48028379870499,9.52959074888543,9.58938033350196,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.4411286542411,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.4411286542411,9.48028379870499,9.52959074888543,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.4117089456701,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.4117089456701,9.4411286542411,9.48028379870499,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.391539527204607,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.391539527204607,9.4117089456701,9.4411286542411,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.38008263423383,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.38008263423383,9.391539527204607,9.4117089456701,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.37676294261906,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.37676294261906,9.38008263423383,9.391539527204607,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.380981211908681,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.380981211908681,9.37676294261906,9.38008263423383,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.39212633523383,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.39212633523383,9.380981211908681,9.37676294261906,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.409585729821801,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.409585729821801,9.39212633523383,9.380981211908681,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.432754085793029,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.432754085793029,9.409585729821801,9.39212633523383,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.461040550573241,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.461040550573241,9.432754085793029,9.409585729821801,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.4938744657315,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.4938744657315,9.461040550573241,9.432754085793029,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.53070574824668,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.53070574824668,9.4938744657315,9.461040550573241,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.5710249628817,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.5710249628817,9.53070574824668,9.4938744657315,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.61433938604845,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.61433938604845,9.5710249628817,9.53070574824668,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.67162377132658,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.67162377132658,9.61433938604845,9.5710249628817,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,9.81600969261741,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,9.81600969261741,9.67162377132658,9.61433938604845,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,10.2321264718854,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70,10.2321264718854,9.81600969261741,9.67162377132658,1550,1800,2230,30,20,40,10,30,0,745,1730,2230,2200,3,4,0,0,12,0,18,0,10.867370165412,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
